"Field","Code","Label"
"ITTPHSC","13909","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 3-7"
"ITTPHSC","13911","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 3-9"
"ITTPHSC","13912","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 3-11"
"ITTPHSC","13913","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 5-9"
"ITTPHSC","13914","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 5-11"
"ITTPHSC","13915","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 7-11"
"ITTPHSC","13916","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 7-14"
"ITTPHSC","13917","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 9-14"
"ITTPHSC","13918","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 11-16"
"ITTPHSC","13919","Accredited by the Department for Education (DfE) for the purpose of delivering initial teacher training programmes to achieve Qualified Teacher Status (QTS): Ages 11-19"
"ITTPHSC","99801","Teacher training qualification: Further education/Higher education"
"ITTPHSC","99803","Teacher training qualification: Other"
