"Field","Code","Label"
"DEGCLSS","01","First class honours"
"DEGCLSS","02","Upper second class honours"
"DEGCLSS","03","Lower second class honours"
"DEGCLSS","04","Undivided second class honours"
"DEGCLSS","05","Third class honours"
"DEGCLSS","06","Fourth class honours"
"DEGCLSS","07","Unclassified honours"
"DEGCLSS","08","Aegrotat (whether to honours or pass)"
"DEGCLSS","09","Pass - degree awarded without honours following an honours course"
"DEGCLSS","10","Ordinary (including divisions of ordinary, if any) degree awarded after following a non-honours course"
"DEGCLSS","11","General degree - degree awarded after following a non-honours course/degree that was not available to be classified"
"DEGCLSS","12","Distinction"
"DEGCLSS","13","Merit"
"DEGCLSS","14","Pass"
"DEGCLSS","98","Not applicable"
"DEGCLSS","99","Not known"
