"Field","Code","Label"
"DEGEST","0076","London South Bank University"
"DEGEST","0077","Staffordshire University"
"DEGEST","0078","The University of Sunderland"
"DEGEST","0079","Teesside University"
"DEGEST","0080","The University of West London"
"DEGEST","0081","University of the West of England, Bristol"
"DEGEST","0082","The University of Chichester"
"DEGEST","0083","The University of Westminster"
"DEGEST","0084","Wimbledon School of Art"
"DEGEST","0085","The University of Wolverhampton"
"DEGEST","0086","The University of Wales, Newport"
"DEGEST","0087","Glyndŵr University"
"DEGEST","0088","Coleg Normal"
"DEGEST","0089","Cardiff Metropolitan University"
"DEGEST","0090","University of South Wales"
"DEGEST","0091","Swansea Metropolitan University"
"DEGEST","0092","Trinity University College"
"DEGEST","0095","Abertay University"
"DEGEST","0096","Edinburgh College of Art"
"DEGEST","0097","Glasgow School of Art"
"DEGEST","0098","Moray House Institute of Education"
"DEGEST","0099","Northern College of Education"
"DEGEST","0100","Queen Margaret University, Edinburgh"
"DEGEST","0101","Royal Conservatoire of Scotland"
"DEGEST","0102","St Andrew's College of Education"
"DEGEST","0103","The Scottish College of Textiles"
"DEGEST","0104","Robert Gordon University"
"DEGEST","0105","The University of the West of Scotland"
"DEGEST","0106","Glasgow Caledonian University"
"DEGEST","0107","Edinburgh Napier University"
"DEGEST","0108","Aston University"
"DEGEST","0109","The University of Bath"
"DEGEST","0110","The University of Birmingham"
"DEGEST","0111","The University of Bradford"
"DEGEST","0112","The University of Bristol"
"DEGEST","0113","Brunel University London"
"DEGEST","0114","The University of Cambridge"
"DEGEST","0115","City, University of London"
"DEGEST","0116","University of Durham"
"DEGEST","0117","The University of East Anglia"
"DEGEST","0118","The University of Essex"
"DEGEST","0119","The University of Exeter"
"DEGEST","0120","The University of Hull"
"DEGEST","0121","Keele University"
"DEGEST","0122","The University of Kent"
"DEGEST","0123","The University of Lancaster"
"DEGEST","0124","The University of Leeds"
"DEGEST","0125","The University of Leicester"
"DEGEST","0126","The University of Liverpool"
"DEGEST","0127","Birkbeck College"
"DEGEST","0128","British Postgraduate Medical Federation"
"DEGEST","0129","Charing Cross and Westminster Medical School"
"DEGEST","0131","Goldsmiths College"
"DEGEST","0132","Imperial College of Science, Technology and Medicine"
"DEGEST","0133","Institute of Education"
"DEGEST","0134","King's College London"
"DEGEST","0135","London Business School"
"DEGEST","0136","The London Hospital Medical College"
"DEGEST","0137","London School of Economics and Political Science"
"DEGEST","0138","London School of Hygiene and Tropical Medicine"
"DEGEST","0139","Queen Mary University of London"
"DEGEST","0140","Royal Free Hospital School of Medicine"
