"Field","Code","Label"
"ETHNIC","100","Asian - Bangladeshi or Bangladeshi British"
"ETHNIC","101","Asian - Chinese or Chinese British"
"ETHNIC","103","Asian - Indian or Indian British"
"ETHNIC","104","Asian - Pakistani or Pakistani British"
"ETHNIC","119","Any other Asian background"
"ETHNIC","120","Black - African or African British"
"ETHNIC","121","Black - Caribbean or Caribbean British"
"ETHNIC","139","Any other Black background"
"ETHNIC","140","Mixed or multiple ethnic groups - White or White British and Asian or Asian British"
"ETHNIC","141","Mixed or multiple ethnic groups - White or White British and Black African or Black African British"
"ETHNIC","142","Mixed or multiple ethnic groups - White or White British and Black Caribbean or Black Caribbean British"
"ETHNIC","159","Any other Mixed or Multiple ethnic background"
"ETHNIC","160","White - English, Scottish, Welsh, Northern Irish or British"
"ETHNIC","163","White - Gypsy or Irish Traveller"
"ETHNIC","166","White - Irish"
"ETHNIC","168","White - Roma"
"ETHNIC","179","Any other White background"
"ETHNIC","180","Arab"
"ETHNIC","899","Any other ethnic background"
"ETHNIC","997","Not known"
"ETHNIC","998","Prefer not to say"
"ETHNIC","999","Not available"
