urn,name,city,postcode
100027,Eleanor Palmer Primary School,London,NW5 2JA
100028,"Christ Church Primary School, Hampstead",Hampstead,NW3 1JH
100113,Bannockburn Primary School,London,SE18 1HE
100158,Heronsgate Primary School,London,SE28 0EA
100190,The Royal Greenwich School Alliance,London,SE3 9PX
100234,The Viridis Schools Partnership,Hackney,E9 7BB
100250,Hackney Teaching Schools' Alliance,Clapton,E5 0RB
100258,Grazebrook Primary School,Stoke Newington,N16 0QP
100263,Primary Advantage,Hackney,E8 3DY
100457,Elizabeth Garrett Anderson School,London,N1 9QG
100591,Wyvil Primary School,Vauxhall Street,SE11 5LG
100613,St Andrews CE Primary School,London,SW9 9DE
100625,Lilian Baylis Technology School,London,SE11 5LG
10064,Inspire Partnership,London,SE18 7EX
100668,South Thames Early Education Partnership & Goldsmiths University (STEEPtsa),Brockley,SE4 2QQ
100706,REAch Teach Primary Partnership,Deptford,SE8 4RJ
100710,Education Teaching Alliance Lewisham,Honor Oak Road,SE23 3SB
100750,Prendergast School,"",SE4 1LE
100861,Dulwich College,London ,SE21 7LD
100960,St Peter's London Docks CofE Primary School,London,E1W 3QT
100977,Stepney All Saints Partnership,London,E1 0RH
101111,Essendine Primary School,Maida Vale,W9 2LR
101136,St Mary's Bryanston Square,London,W1H 1DL
101219,Aspire Education Alliance,Romford,RM6 6DA
101264,Brunswick Park Alliance,Southgate,N14 5DU
101497,Brent Initial Teacher Training (BITT),Wembley,HA0 3SF
101933,Teach West London Teaching School Hub,Acton,W3 9PP
101966,Castlebar School,Ealing,W13 0DH
101997,Hazelwood Schools FIPC,Harlow,CM18 7HT
102022,De Bohun Primary School FIPC,Southgate,N14 4AD
102028,Forty Hill CofE Primary School,Enfield,EN2 9EY
102097,Coldfall Primary School,Muswell Hill,N10 1HS
102139,St Mary's CofE Primary,London,N8 7BU
102157,Gladesmore Community School,Tottenham,N15 6EB
102239,Harrow Collegiate Alliance,Harrow,HA2 0AD
102291,Romford Teacher Training Partnership FIPC,Romford,RM5 3QR
102418,Holy Trinity CofE Primary School,Northwood,HA6 2RH
102683,Teach Wimbledon,London,SW20 8HA
102698,Merton Special Training Association,Morden,SM4 6RU
102752,Colegrave Primary School (SCITTELS),Stratford,E15 1JY
102786,St Angela's Teacher Training Centre,Forest Gate,E7 8HU
102787,Agnus Dei Catholic Schools,London,E7 9QD
102856,Seven Kings Learning Partnership,Ilford,IG2 7BT
102857,Valentines High School,Gants Hill,IG26HX
102997,The Federation of St. Elphege’s Catholic Schools,Wallington,SM6 9HY
103070,Henry Maynard Primary School,Walthamstow,E17 9JE
103100,Waltham Forest Partnership,Walthamstow,E17 6ND
103189,Colmore Partnership Training School Alliance,Kings Heath,B14 6AJ
103227,The Lozells School Direct Programme,Birmingham,B19 2EP
103341,The Federation of Boldmere Schools,Sutton Coldfield,B73 5SD
103445,Bournville Village Primary School,Birmingham,B30 1JY
103531,St Paul's Caritas Christi,Birmingham,B16 9SL
103560,Bishop Challoner Training School,Kings Heath,B14 7EG
103760,Sherbourne Fields School,Coventry,CV6 1PR
103941,Crocketts Community Primary School,Smethwick,B67  7DW
103991,St John Bosco ITT,Smethwick,B67 7JG
104045,Dorridge Alliance,Solihull,B93 8EU
104119,St Peter's Solihull Teaching School Alliance,Solihull,B91 3NZ
104212,Lindens,Streetly,B742BB
104453,Mersey Boroughs ITT Partnership (School Direct),Prescot,L35 5DN
104557,MAITT (Merseyside Alliance Initial Teacher Training),Liverpool,L8 9UB
104705,Archbishop Blanch School,Liverpool,L7 6HQ
104715,St John Bosco,Croxteth,L11 9DQ
104748,Palmerston School,Liverpool,L17 6AU
104751,Merseyside Special Schools Alliance,Liverpool,L5 3LU
104774,St Helens ONE - Grange Valley Primary,St Helens,WA11 0XQ
104863,Owls,Southport,PR83DF
104869,Hudson Primary School,Maghull,L31 5LE
104884,Green Park Primary School,Maghull,L31 8BW
105086,Birkenhead North Schools Partnership,Birkenhead,CH41 8DU
105202,Eatock School Direct,Bolton,BL5 2ER
105243,Teach Heart Alliance,Westhoughton,BL5 3DU
105253,SD at Turton,Bolton,BL7 9LT
105648,Mills Hill Primary,Oldham,OL9 0NH
105787,Boarshaw Community Primary School,Manchester,M24 2PB
105811,Arch Alliance - All Souls' CE Primary,Heywood,OL10 4DF
105910,Salford Alliance of Learning Schools,Swinton,M27 0LN
105933,St Andrew's Alliance,Salford,M28 1HS
105986,St Patrick's Greater Manchester Alliance,Salford,M30 7JJ
106376,Blessed Thomas Holford Catholic College,Altrincham,WA15 8HT
106460,WCPSD,Wigan,WN1 3RZ
106525,Golborne Trinity,Warrington,WA3 3EL
106540,Wigan and West Lancashire Catholic School Direct,Ashton in Makerfield,WN49PF
106653,Penistone Area Partnership,Sheffield,S36 7BX
10688,Basingstoke Alliance SCITT,Basingstoke,RG21 5SU
107190,St Edmund's Nursery School & Children's Centre,Girlington,BD8 9QW
107249,East One Partnership,Bradford,BD2 3PU
107270,Saltaire Primary School Direct,"Saltaire, Shipley",BD18 4NR
107309,Ilkley All Saints' Teacher Training Partnership,Ilkley,LS29 9BE
107439,Bingley Grammar School Direct,Bingley,BD16 2RS
107580,Valley Trust (formerly TRISIS),Brighouse,HD6 2NY
107809,Aireborough Partnership,Rawdon,LS19 6PP
108021,St Anthony's Primary Learning Partnership,Leeds,LS11 7JS
108297,Diocese of Leeds BKCAT Alliance,Featherstone,WF7 6BD
108526,NEAT ITT,North Shields,NE29 7ST
108579,Shiremoor Primary School Partnership School Direct,Newcastle upon Tyne,NE270PW
108607,North Tyneside SCITT (New York Primary School Direct),Wallsend,NE28 0HG
108638,Whitley Bay Teacher Training,Whitley Bay,NE25 9AS
108641,Northumbria Art and Design Partnership,Wallsend,NE25 0LB
108644,John Spence Community High School,North Shields,NE29 9PU
108655,Benton Dene School,Longbenton,NE12 8fd
108753,Sunderland Nursery Schools,Sunderland,SR4 9AX
108818,Washington and Chester le Street Teacher Training Alliance,Washington,NE38 9EZ
108882,Sunningdale School,Sunderland,SR3 2PP
108910,Bristol Primary Training and Support Alliance (Whitehall Primary/Ashley Down Primary),Bristol,BS14 0LL
109108,Growing Expert Teachers,Nailsea,BS48 1BB
109164,Five Counties Teaching School Hub (South Glos and BANES),Bristol,BS16 7EY
