id,state,awarded_at,defer_date,withdraw_date
84460,deferred,,21/07/2022,
80365,deferred,,15/09/2022,
107313,deferred,,22/08/2022,
70500,deferred,,20/07/2022,
149194,deferred,,20/07/2022,
110409,deferred,,19/08/2022,
72079,deferred,,26/07/2022,
82883,deferred,,06/08/2022,
72151,deferred,,26/07/2022,
110512,deferred,,22/08/2022,
82274,deferred,,06/08/2022,
112285,deferred,,04/08/2022,
82449,deferred,,16/07/2022,
53807,deferred,,18/07/2022,
23767,withdrawn,,,23/07/2022
14537,trn_received,,,
68985,trn_received,,,
69179,trn_received,,,
69219,trn_received,,,
14590,trn_received,,,
68989,trn_received,,,
77547,trn_received,,,
75557,trn_received,,,
125141,trn_received,,,
75192,trn_received,,,
68762,trn_received,,,
25856,trn_received,,,
80362,trn_received,,,
109353,trn_received,,,
129906,trn_received,,,
84315,withdrawn,,,21/07/2022
104947,withdrawn,,,10/10/2022
129645,trn_received,,,
77143,withdrawn,,,13/10/2022
139130,trn_received,,,
121679,trn_received,,,
66446,withdrawn,,,21/07/2022
132861,trn_received,,,
73461,withdrawn,,,03/08/2022
110476,trn_received,,,
77056,awarded,02/08/2022,,
110423,awarded,30/07/2022,,
103865,awarded,30/07/2022,,
110442,awarded,19/07/2022,,
110417,awarded,20/07/2022,,
110452,awarded,22/07/2022,,
70925,awarded,12/07/2022,,
110462,awarded,16/07/2022,,
69508,awarded,27/07/2022,,
84829,awarded,22/07/2022,,
84988,awarded,15/07/2022,,
79389,awarded,13/07/2022,,
73483,awarded,03/08/2022,,
78703,awarded,23/07/2022,,
110471,awarded,30/07/2022,,
76698,awarded,02/08/2022,,
107618,awarded,08/07/2022,,
108912,awarded,14/07/2022,,
37849,awarded,23/07/2022,,
110487,awarded,22/07/2022,,
37543,awarded,23/07/2022,,
110505,awarded,19/07/2022,,
83150,awarded,27/07/2022,,
110501,awarded,02/07/2022,,
69604,awarded,27/07/2022,,
110518,awarded,26/09/2022,,
103795,awarded,30/07/2022,,
72240,awarded,08/07/2022,,
78677,awarded,20/07/2022,,
78220,awarded,19/07/2022,,
79321,awarded,13/07/2022,,
110550,awarded,15/07/2022,,
85251,awarded,12/07/2022,,
68107,awarded,22/07/2022,,
67475,awarded,19/07/2022,,
110545,awarded,22/07/2022,,
110562,awarded,30/07/2022,,
79428,awarded,11/07/2022,,
79052,awarded,23/07/2022,,
110646,awarded,27/07/2022,,
73529,awarded,03/08/2022,,
84132,awarded,21/07/2022,,
80229,awarded,09/08/2022,,
68139,awarded,22/07/2022,,
69559,awarded,27/07/2022,,
110639,awarded,07/06/2022,,
74774,awarded,29/07/2022,,
76227,awarded,20/07/2022,,
110557,awarded,08/09/2022,,
107573,awarded,09/07/2022,,
110600,awarded,19/07/2022,,
110625,awarded,22/07/2022,,
110626,awarded,22/07/2022,,
68326,awarded,28/07/2022,,
111112,awarded,27/07/2022,,
75428,awarded,12/08/2022,,
69376,awarded,20/07/2022,,
91942,awarded,30/08/2022,,
111056,awarded,18/08/2022,,
104243,awarded,20/07/2022,,
110935,awarded,12/08/2022,,
77827,awarded,19/07/2022,,
68124,awarded,22/07/2022,,
111124,awarded,30/07/2022,,
88028,awarded,30/07/2022,,
78212,awarded,20/07/2022,,
91390,awarded,13/07/2022,,
91748,awarded,08/07/2022,,
78349,awarded,30/07/2022,,
111075,awarded,20/09/2022,,
78838,awarded,23/07/2022,,
81808,awarded,06/08/2022,,
73971,awarded,29/07/2022,,
110725,awarded,30/07/2022,,
110669,awarded,02/09/2022,,
110766,awarded,22/07/2022,,
80180,awarded,09/08/2022,,
80164,awarded,09/08/2022,,
83376,awarded,06/07/2022,,
80002,awarded,29/07/2022,,
107369,awarded,13/07/2022,,
76400,awarded,30/07/2022,,
107190,awarded,09/07/2022,,
84495,awarded,30/07/2022,,
113770,awarded,14/07/2022,,
112317,awarded,22/07/2022,,
104739,awarded,22/07/2022,,
84031,awarded,21/07/2022,,
107091,awarded,13/07/2022,,
102266,awarded,02/07/2022,,
79176,awarded,20/07/2022,,
113078,awarded,22/07/2022,,
114020,awarded,30/07/2022,,
80189,awarded,09/08/2022,,
37839,awarded,23/07/2022,,
72351,awarded,08/07/2022,,
72563,awarded,07/07/2022,,
114714,awarded,06/08/2022,,
61592,awarded,22/07/2022,,
15742,awarded,15/08/2022,,
109478,awarded,10/06/2022,,
68494,awarded,30/07/2022,,
109093,awarded,30/06/2022,,
83465,awarded,06/07/2022,,
103446,awarded,27/07/2022,,
72470,awarded,07/07/2022,,
85833,awarded,03/08/2022,,
81697,awarded,06/08/2022,,
59254,awarded,12/07/2022,,
69194,awarded,01/09/2022,,
63285,awarded,29/07/2022,,
69176,awarded,01/09/2022,,
75579,awarded,15/08/2022,,
66225,awarded,22/07/2022,,
60900,awarded,30/07/2022,,
68463,awarded,24/08/2022,,
61242,awarded,30/07/2022,,
66785,awarded,21/07/2022,,
80986,awarded,20/07/2022,,
84284,awarded,21/07/2022,,
85698,awarded,03/08/2022,,
82503,awarded,06/08/2022,,
79438,awarded,13/07/2022,,
40964,awarded,27/07/2022,,
66698,awarded,21/07/2022,,
85832,awarded,03/08/2022,,
82295,awarded,16/07/2022,,
71653,awarded,12/08/2022,,
78870,awarded,20/07/2022,,
69644,awarded,11/08/2022,,
25589,awarded,22/07/2022,,
49269,awarded,22/07/2022,,
82177,awarded,09/07/2022,,
45399,awarded,26/07/2022,,
48624,awarded,02/07/2022,,
78860,awarded,20/07/2022,,
26332,awarded,01/08/2022,,
52651,awarded,27/07/2022,,
107050,awarded,13/07/2022,,
52942,awarded,29/07/2022,,
85197,awarded,12/07/2022,,
30267,awarded,30/07/2022,,
104191,awarded,31/08/2022,,
56362,awarded,12/08/2022,,
68403,awarded,12/10/2022,,
30754,awarded,14/07/2022,,
76781,awarded,30/07/2022,,
67692,awarded,15/09/2022,,
104843,awarded,20/09/2022,,
107844,awarded,14/07/2022,,
75417,awarded,12/08/2022,,
70949,awarded,19/07/2022,,
108657,awarded,10/06/2022,,
103029,awarded,02/07/2022,,
85668,awarded,03/08/2022,,
102103,awarded,02/07/2022,,
69536,awarded,27/07/2022,,
67144,awarded,28/07/2022,,
72190,withdrawn,,,26/07/2022
110492,withdrawn,,,23/07/2022
109055,withdrawn,,,13/07/2022
91262,withdrawn,,,19/07/2022
29480,withdrawn,,,26/11/2021
105616,withdrawn,,,08/04/2022
104550,withdrawn,,,15/09/2022
88606,withdrawn,,,15/09/2022
104614,withdrawn,,,20/07/2022
103782,withdrawn,,,20/07/2022
104440,withdrawn,,,20/07/2022
104318,withdrawn,,,20/07/2022
104314,withdrawn,,,20/07/2022
68553,withdrawn,,,29/04/2022
68896,withdrawn,,,22/04/2022
68629,withdrawn,,,31/01/2022
68768,withdrawn,,,31/01/2022
90276,withdrawn,,,13/06/2022
106126,withdrawn,,,23/05/2022
106148,withdrawn,,,31/05/2022
83113,withdrawn,,,31/08/2022
83034,withdrawn,,,31/08/2022
105120,withdrawn,,,27/05/2022
105183,withdrawn,,,27/05/2022
105099,withdrawn,,,27/05/2022
68561,withdrawn,,,04/02/2022
104698,withdrawn,,,20/07/2022
104730,withdrawn,,,15/06/2022
106974,withdrawn,,,19/07/2022
106980,withdrawn,,,19/07/2022
106467,withdrawn,,,28/10/2021
106416,withdrawn,,,08/08/2022
91254,withdrawn,,,19/07/2022
91258,withdrawn,,,19/07/2022
